OBJECTID,GEOID,Name,Population,AggregateIncome,PCIAdjusted,ACSVintage,Jurisdiction,CRA_ID,CRAGroup,CRAName,CRANeighborhoods,TractLabel
14,53033000900,"Census Tract 9, King County, Washington",2203,161398200,73263,5Y20,Seattle,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",9
15,53033001000,"Census Tract 10, King County, Washington",2037,86613300,42520,5Y20,Seattle,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",10
16,53033001100,"Census Tract 11, King County, Washington",2713,141033400,51984,5Y20,Seattle,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",11
17,53033001201,"Census Tract 12.01, King County, Washington",4135,129033200,31205,5Y20,Seattle,8.1,8,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",12.01
18,53033001202,"Census Tract 12.02, King County, Washington",3111,126609500,40697,5Y20,Seattle,8.1,8,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",12.02
19,53033001300,"Census Tract 13, King County, Washington",4998,225601500,45138,5Y20,Seattle,9.2,9,Licton Springs,Licton Springs,13
20,53033001400,"Census Tract 14, King County, Washington",5517,332341400,60240,5Y20,Seattle,10.1,10,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge",14
21,53033001500,"Census Tract 15, King County, Washington",2873,207733100,72305,5Y20,Seattle,10.1,10,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge",15
22,53033001600,"Census Tract 16, King County, Washington",4903,382663100,78047,5Y20,Seattle,10.1,10,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge",16
23,53033001701,"Census Tract 17.01, King County, Washington",4442,204649200,46071,5Y20,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",17.01
24,53033001702,"Census Tract 17.02, King County, Washington",5121,262859900,51330,5Y20,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",17.02
25,53033001800,"Census Tract 18, King County, Washington",5059,277470900,54847,5Y20,Seattle,9.2,9,Licton Springs,Licton Springs,18
26,53033001900,"Census Tract 19, King County, Washington",5100,321708000,63080,5Y20,Seattle,8.1,8,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",19
27,53033002000,"Census Tract 20, King County, Washington",4120,245914700,59688,5Y20,Seattle,8.1,8,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",20
28,53033002100,"Census Tract 21, King County, Washington",4584,276953000,60417,5Y20,Seattle,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",21
29,53033002200,"Census Tract 22, King County, Washington",6147,427617500,69565,5Y20,Seattle,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",22
30,53033002400,"Census Tract 24, King County, Washington",3311,225796100,68196,5Y20,Seattle,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",24
31,53033002500,"Census Tract 25, King County, Washington",3561,217588900,61103,5Y20,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",25
32,53033002600,"Census Tract 26, King County, Washington",5598,328871500,58748,5Y20,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",26
33,53033002700,"Census Tract 27, King County, Washington",6129,423749000,69138,5Y20,Seattle,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",27
34,53033002800,"Census Tract 28, King County, Washington",5205,349593300,67165,5Y20,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",28
35,53033002900,"Census Tract 29, King County, Washington",4744,301014400,63452,5Y20,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",29
36,53033003000,"Census Tract 30, King County, Washington",6509,420444200,64594,5Y20,Seattle,10.2,10,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill",30
37,53033003100,"Census Tract 31, King County, Washington",6718,507201800,75499,5Y20,Seattle,10.3,10,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",31
38,53033003201,"Census Tract 32.01, King County, Washington",4508,459621800,101957,5Y20,Seattle,10.3,10,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",32.01
39,53033003202,"Census Tract 32.02, King County, Washington",4773,338767400,70976,5Y20,Seattle,10.3,10,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",32.02
40,53033003301,"Census Tract 33.01, King County, Washington",4671,316044100,67661,5Y20,Seattle,10.2,10,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill",33.01
41,53033003302,"Census Tract 33.02, King County, Washington",4085,260635400,63803,5Y20,Seattle,10.2,10,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill",33.02
42,53033003400,"Census Tract 34, King County, Washington",3735,287534700,76984,5Y20,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",34
43,53033003500,"Census Tract 35, King County, Washington",4370,277204400,63434,5Y20,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",35
44,53033003601,"Census Tract 36.01, King County, Washington",4047,248891000,61500,5Y20,Seattle,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",36.01
45,53033003602,"Census Tract 36.02, King County, Washington",3930,247766900,63045,5Y20,Seattle,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",36.02
46,53033003800,"Census Tract 38, King County, Washington",2585,190324500,73626,5Y20,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",38
47,53033003900,"Census Tract 39, King County, Washington",3110,196444800,63166,5Y20,Seattle,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",39
48,53033004000,"Census Tract 40, King County, Washington",3320,258553400,77878,5Y20,Seattle,7.5,7,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",40
49,53033004101,"Census Tract 41.01, King County, Washington",4398,591234600,134433,5Y20,Seattle,7.5,7,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",41.01
50,53033004102,"Census Tract 41.02, King County, Washington",3912,328312900,83925,5Y20,Seattle,7.5,7,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",41.02
51,53033004201,"Census Tract 42.01, King County, Washington",3533,343026600,97092,5Y20,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",42.01
52,53033004202,"Census Tract 42.02, King County, Washington",4851,344527400,71022,5Y20,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",42.02
53,53033004301,"Census Tract 43.01, King County, Washington",3870,179124400,46285,5Y20,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",43.01
54,53033004302,"Census Tract 43.02, King County, Washington",4212,95233900,22610,5Y20,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",43.02
55,53033004401,"Census Tract 44.01, King County, Washington",4319,236806100,54829,5Y20,Seattle,7.2,7,University District,"University District, Cowen Park, Ravenna",44.01
56,53033004402,"Census Tract 44.02, King County, Washington",3414,146537900,42923,5Y20,Seattle,7.2,7,University District,"University District, Cowen Park, Ravenna",44.02
57,53033004500,"Census Tract 45, King County, Washington",3504,179476700,51221,5Y20,Seattle,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District",45
58,53033004600,"Census Tract 46, King County, Washington",3660,248227300,67822,5Y20,Seattle,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",46
59,53033004701,"Census Tract 47.01, King County, Washington",3144,219346100,69767,5Y20,Seattle,10.4,10,Ballard,"Ballard, West Woodland, Adams",47.01
60,53033004702,"Census Tract 47.02, King County, Washington",3180,249296900,78395,5Y20,Seattle,10.4,10,Ballard,"Ballard, West Woodland, Adams",47.02
61,53033004703,"Census Tract 47.03, King County, Washington",3968,263651500,66444,5Y20,Seattle,10.4,10,Ballard,"Ballard, West Woodland, Adams",47.03
62,53033004800,"Census Tract 48, King County, Washington",5452,424703600,77899,5Y20,Seattle,11.1,11,Fremont,"Fremont, Wallingford, Northlake",48
63,53033004901,"Census Tract 49.01, King County, Washington",4397,319619300,72690,5Y20,Seattle,11.1,11,Fremont,"Fremont, Wallingford, Northlake",49.01
64,53033004902,"Census Tract 49.02, King County, Washington",3517,273283600,77704,5Y20,Seattle,11.1,11,Fremont,"Fremont, Wallingford, Northlake",49.02
65,53033005000,"Census Tract 50, King County, Washington",4376,287297700,65653,5Y20,Seattle,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District",50
66,53033005100,"Census Tract 51, King County, Washington",3750,275023200,73340,5Y20,Seattle,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District",51
67,53033005201,"Census Tract 52.01, King County, Washington",3857,186698700,48405,5Y20,Seattle,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District",52.01
68,53033005202,"Census Tract 52.02, King County, Washington",3283,117823600,35889,5Y20,Seattle,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District",52.02
69,53033005303,"Census Tract 53.03, King County, Washington",3525,18457100,5236,5Y20,Seattle,7.2,7,University District,"University District, Cowen Park, Ravenna",53.03
70,53033005304,"Census Tract 53.04, King County, Washington",3110,15455700,4970,5Y20,Seattle,7.2,7,University District,"University District, Cowen Park, Ravenna",53.04
71,53033005305,"Census Tract 53.05, King County, Washington",2252,44408400,19720,5Y20,Seattle,7.2,7,University District,"University District, Cowen Park, Ravenna",53.05
72,53033005306,"Census Tract 53.06, King County, Washington",3786,82257300,21727,5Y20,Seattle,7.2,7,University District,"University District, Cowen Park, Ravenna",53.06
73,53033005307,"Census Tract 53.07, King County, Washington",3247,32316700,9953,5Y20,Seattle,7.2,7,University District,"University District, Cowen Park, Ravenna",53.07
74,53033005401,"Census Tract 54.01, King County, Washington",3257,284873900,87465,5Y20,Seattle,11.1,11,Fremont,"Fremont, Wallingford, Northlake",54.01
75,53033005402,"Census Tract 54.02, King County, Washington",3401,217388200,63919,5Y20,Seattle,11.1,11,Fremont,"Fremont, Wallingford, Northlake",54.02
76,53033005600,"Census Tract 56, King County, Washington",7112,599347800,84273,5Y20,Seattle,12.1,12,Magnolia,"Magnolia, Discovery Park, Briarcliff, Lawton Park",56
77,53033005700,"Census Tract 57, King County, Washington",6920,559017900,80783,5Y20,Seattle,12.1,12,Magnolia,"Magnolia, Discovery Park, Briarcliff, Lawton Park",57
78,53033005801,"Census Tract 58.01, King County, Washington",6552,453506200,69216,5Y20,Seattle,12.2,12,Interbay,Interbay,58.01
79,53033005803,"Census Tract 58.03, King County, Washington",3216,203711600,63343,5Y20,Seattle,12.2,12,Interbay,Interbay,58.03
80,53033005804,"Census Tract 58.04, King County, Washington",2746,159105500,57941,5Y20,Seattle,12.2,12,Interbay,Interbay,58.04
81,53033005901,"Census Tract 59.01, King County, Washington",4146,212359500,51220,5Y20,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",59.01
82,53033005902,"Census Tract 59.02, King County, Washington",4299,311234300,72397,5Y20,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",59.02
83,53033006000,"Census Tract 60, King County, Washington",6460,551399800,85356,5Y20,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",60
84,53033006100,"Census Tract 61, King County, Washington",5743,503640500,87696,5Y20,Seattle,7.1,7,Montlake/Portage Bay,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",61
85,53033006200,"Census Tract 62, King County, Washington",4543,455879000,100348,5Y20,Seattle,7.1,7,Montlake/Portage Bay,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",62
86,53033006300,"Census Tract 63, King County, Washington",5856,869118200,148415,5Y20,Seattle,6.5,6,Madison Park,"Madison Park, Broadmoor, Washington Park, Harrison/Denny-Blaine",63
87,53033006400,"Census Tract 64, King County, Washington",3732,333181700,89277,5Y20,Seattle,6.4,6,Miller Park,"Madison-Miller, Miller Park, Capitol Hill, Stevens",64
88,53033006500,"Census Tract 65, King County, Washington",4843,433006500,89409,5Y20,Seattle,6.3,6,North Capitol Hill,"North Capitol Hill, Capitol Hill, North Broadway",65
89,53033006600,"Census Tract 66, King County, Washington",4386,399794000,91152,5Y20,Seattle,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",66
90,53033006701,"Census Tract 67.01, King County, Washington",3109,284492200,91506,5Y20,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",67.01
91,53033006702,"Census Tract 67.02, King County, Washington",3021,271017100,89711,5Y20,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",67.02
92,53033006703,"Census Tract 67.03, King County, Washington",3661,309995000,84675,5Y20,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",67.03
93,53033006800,"Census Tract 68, King County, Washington",3323,379652900,114250,5Y20,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",68
94,53033006900,"Census Tract 69, King County, Washington",5159,447576400,86756,5Y20,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",69
95,53033007001,"Census Tract 70.01, King County, Washington",3717,290684000,78204,5Y20,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",70.01
96,53033007002,"Census Tract 70.02, King County, Washington",3551,289742400,81595,5Y20,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",70.02
97,53033007101,"Census Tract 71.01, King County, Washington",2842,222453600,78274,5Y20,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",71.01
98,53033007102,"Census Tract 71.02, King County, Washington",2655,237991000,89639,5Y20,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",71.02
99,53033007201,"Census Tract 72.01, King County, Washington",5318,473590600,89054,5Y20,Seattle,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",72.01
100,53033007202,"Census Tract 72.02, King County, Washington",3088,323898100,104889,5Y20,Seattle,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",72.02
101,53033007203,"Census Tract 72.03, King County, Washington",3358,269481200,80251,5Y20,Seattle,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",72.03
102,53033007301,"Census Tract 73.01, King County, Washington",2619,193499900,73883,5Y20,Seattle,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",73.01
103,53033007302,"Census Tract 73.02, King County, Washington",4429,410141200,92604,5Y20,Seattle,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",73.02
104,53033007303,"Census Tract 73.03, King County, Washington",2361,199730000,84596,5Y20,Seattle,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",73.03
105,53033007403,"Census Tract 74.03, King County, Washington",3107,215177800,69256,5Y20,Seattle,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",74.03
106,53033007404,"Census Tract 74.04, King County, Washington",2799,221994200,79312,5Y20,Seattle,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",74.04
107,53033007405,"Census Tract 74.05, King County, Washington",2887,164119200,56848,5Y20,Seattle,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",74.05
108,53033007406,"Census Tract 74.06, King County, Washington",2458,159870500,65041,5Y20,Seattle,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",74.06
109,53033007501,"Census Tract 75.01, King County, Washington",4312,282953500,65620,5Y20,Seattle,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",75.01
110,53033007502,"Census Tract 75.02, King County, Washington",2676,145937200,54536,5Y20,Seattle,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",75.02
111,53033007503,"Census Tract 75.03, King County, Washington",2222,188176100,84688,5Y20,Seattle,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",75.03
112,53033007600,"Census Tract 76, King County, Washington",4786,315907500,66007,5Y20,Seattle,6.4,6,Miller Park,"Madison-Miller, Miller Park, Capitol Hill, Stevens",76
113,53033007700,"Census Tract 77, King County, Washington",5562,430599400,77418,5Y20,Seattle,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",77
114,53033007800,"Census Tract 78, King County, Washington",6178,633257000,102502,5Y20,Seattle,5.1,5,Madrona/Leschi,"Madrona, Leschi, Harrison/Denny-Blaine",78
115,53033007901,"Census Tract 79.01, King County, Washington",3095,227454700,73491,5Y20,Seattle,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",79.01
116,53033007902,"Census Tract 79.02, King County, Washington",3745,243443900,65005,5Y20,Seattle,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",79.02
117,53033008002,"Census Tract 80.02, King County, Washington",3936,316686000,80459,5Y20,Seattle,13.1,13,Belltown,"Belltown, Denny Regrade",80.02
118,53033008003,"Census Tract 80.03, King County, Washington",4222,355468600,84194,5Y20,Seattle,13.1,13,Belltown,"Belltown, Denny Regrade",80.03
119,53033008004,"Census Tract 80.04, King County, Washington",3383,392475600,116014,5Y20,Seattle,13.1,13,Belltown,"Belltown, Denny Regrade",80.04
120,53033008101,"Census Tract 81.01, King County, Washington",2721,239258500,87930,5Y20,Seattle,13.2,13,Downtown Commercial Core,"Downtown Commercial Core, West Edge, Central Business District, Pike Place Market, Pioneer Square",81.01
121,53033008102,"Census Tract 81.02, King County, Washington",2448,178870500,73068,5Y20,Seattle,13.2,13,Downtown Commercial Core,"Downtown Commercial Core, West Edge, Central Business District, Pike Place Market, Pioneer Square",81.02
122,53033008200,"Census Tract 82, King County, Washington",4509,424583700,94164,5Y20,Seattle,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park",82
123,53033008300,"Census Tract 83, King County, Washington",3299,211048200,63973,5Y20,Seattle,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park",83
124,53033008401,"Census Tract 84.01, King County, Washington",2850,219560900,77039,5Y20,Seattle,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",84.01
125,53033008402,"Census Tract 84.02, King County, Washington",2838,221575800,78075,5Y20,Seattle,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",84.02
126,53033008500,"Census Tract 85, King County, Washington",4385,208032300,47442,5Y20,Seattle,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park",85
127,53033008600,"Census Tract 86, King County, Washington",6757,302292000,44738,5Y20,Seattle,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park",86
128,53033008700,"Census Tract 87, King County, Washington",4599,264039200,57412,5Y20,Seattle,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",87
129,53033008800,"Census Tract 88, King County, Washington",4695,296196400,63088,5Y20,Seattle,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",88
130,53033008900,"Census Tract 89, King County, Washington",6509,595897800,91550,5Y20,Seattle,5.1,5,Madrona/Leschi,"Madrona, Leschi, Harrison/Denny-Blaine",89
131,53033009000,"Census Tract 90, King County, Washington",3720,180042900,48399,5Y20,Seattle,5.2,5,Judkins Park,"Judkins Park, Central Area, Little Saigon, Atlantic",90
132,53033009100,"Census Tract 91, King County, Washington",2813,107732700,38298,5Y20,Seattle,13.3,13,Pioneer Square/International District,"Pioneer Square, International District, Chinatown, Little Saigon, ID, Chinatown-International District",91
133,53033009200,"Census Tract 92, King County, Washington",2762,109410300,39613,5Y20,Seattle,13.3,13,Pioneer Square/International District,"Pioneer Square, International District, Chinatown, Little Saigon, ID, Chinatown-International District",92
134,53033009300,"Census Tract 93, King County, Washington",3095,213611200,69018,5Y20,Seattle,3.3,3,Duwamish/SODO,"Duwamish, SODO, Pioneer Square",93
135,53033009400,"Census Tract 94, King County, Washington",7086,339817400,47956,5Y20,Seattle,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",94
136,53033009500,"Census Tract 95, King County, Washington",7157,487877300,68168,5Y20,Seattle,4.4,4,Mt. Baker/North Rainier,"Mt. Baker, North Rainier, Atlantic",95
137,53033009600,"Census Tract 96, King County, Washington",5898,500647100,84884,5Y20,Seattle,1.4,1,Alki/Admiral,"Alki, Admiral",96
138,53033009701,"Census Tract 97.01, King County, Washington",6505,489090400,75187,5Y20,Seattle,1.4,1,Alki/Admiral,"Alki, Admiral",97.01
139,53033009702,"Census Tract 97.02, King County, Washington",5595,343746000,61438,5Y20,Seattle,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",97.02
140,53033009801,"Census Tract 98.01, King County, Washington",3555,238067500,66967,5Y20,Seattle,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",98.01
141,53033009802,"Census Tract 98.02, King County, Washington",4165,224970800,54015,5Y20,Seattle,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",98.02
142,53033009900,"Census Tract 99, King County, Washington",6078,350783000,57714,5Y20,Seattle,2.1,2,North Delridge,"North Delridge, Pigeon Point, Avalon, Luna Park, Harbor Island",99
143,53033010001,"Census Tract 100.01, King County, Washington",4390,176279100,40155,5Y20,Seattle,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",100.01
144,53033010002,"Census Tract 100.02, King County, Washington",5095,218758800,42936,5Y20,Seattle,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",100.02
145,53033010101,"Census Tract 101.01, King County, Washington",4525,179849200,39746,5Y20,Seattle,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",101.01
146,53033010102,"Census Tract 101.02, King County, Washington",4143,269947400,65157,5Y20,Seattle,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",101.02
147,53033010200,"Census Tract 102, King County, Washington",5039,318910000,63288,5Y20,Seattle,4.3,4,Seward Park,"Seward Park, Hillman City",102
148,53033010301,"Census Tract 103.01, King County, Washington",4272,199634200,46731,5Y20,Seattle,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",103.01
149,53033010302,"Census Tract 103.02, King County, Washington",2845,202866500,71306,5Y20,Seattle,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",103.02
150,53033010401,"Census Tract 104.01, King County, Washington",4500,161279300,35840,5Y20,Seattle,3.5,3,Beacon Hill,Beacon Hill,104.01
151,53033010402,"Census Tract 104.02, King County, Washington",4856,180487400,37168,5Y20,Seattle,3.5,3,Beacon Hill,Beacon Hill,104.02
152,53033010501,"Census Tract 105.01, King County, Washington",3948,235588200,59673,5Y20,Seattle,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",105.01
153,53033010502,"Census Tract 105.02, King County, Washington",5440,407923200,74986,5Y20,Seattle,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",105.02
154,53033010601,"Census Tract 106.01, King County, Washington",4368,294031300,67315,5Y20,Seattle,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",106.01
